"","Id","week","region_code","region_name","TauxGrippe","flu.rate","year","wk","date"
"1",14717,200401,11,"ILE-DE-FRANCE","66",66,2004,1,2004-01-05
"2",14695,200402,11,"ILE-DE-FRANCE","74",74,2004,2,2004-01-12
"3",14673,200403,11,"ILE-DE-FRANCE","88",88,2004,3,2004-01-19
"4",14651,200404,11,"ILE-DE-FRANCE","26",26,2004,4,2004-01-26
"5",14629,200405,11,"ILE-DE-FRANCE","17",17,2004,5,2004-02-02
"6",14607,200406,11,"ILE-DE-FRANCE","25",25,2004,6,2004-02-09
"7",14585,200407,11,"ILE-DE-FRANCE","22",22,2004,7,2004-02-16
"8",14563,200408,11,"ILE-DE-FRANCE","4",4,2004,8,2004-02-23
"9",14541,200409,11,"ILE-DE-FRANCE","2",2,2004,9,2004-03-01
"10",14519,200410,11,"ILE-DE-FRANCE","28",28,2004,10,2004-03-08
"11",14497,200411,11,"ILE-DE-FRANCE","25",25,2004,11,2004-03-15
"12",14475,200412,11,"ILE-DE-FRANCE","34",34,2004,12,2004-03-22
"13",14453,200413,11,"ILE-DE-FRANCE","16",16,2004,13,2004-03-29
"14",14431,200414,11,"ILE-DE-FRANCE","13",13,2004,14,2004-04-05
"15",14409,200415,11,"ILE-DE-FRANCE","15",15,2004,15,2004-04-12
"16",14387,200416,11,"ILE-DE-FRANCE","1",1,2004,16,2004-04-19
"17",14365,200417,11,"ILE-DE-FRANCE","2",2,2004,17,2004-04-26
"18",14343,200418,11,"ILE-DE-FRANCE","7",7,2004,18,2004-05-03
"19",14321,200419,11,"ILE-DE-FRANCE","8",8,2004,19,2004-05-10
"20",14299,200420,11,"ILE-DE-FRANCE","5",5,2004,20,2004-05-17
"21",14277,200421,11,"ILE-DE-FRANCE","2",2,2004,21,2004-05-24
"22",14255,200422,11,"ILE-DE-FRANCE","1",1,2004,22,2004-05-31
"23",14233,200423,11,"ILE-DE-FRANCE","1",1,2004,23,2004-06-07
"24",14211,200424,11,"ILE-DE-FRANCE","0",0,2004,24,2004-06-14
"25",14189,200425,11,"ILE-DE-FRANCE","4",4,2004,25,2004-06-21
"26",14167,200426,11,"ILE-DE-FRANCE","9",9,2004,26,2004-06-28
"27",14145,200427,11,"ILE-DE-FRANCE","7",7,2004,27,2004-07-05
"28",14123,200428,11,"ILE-DE-FRANCE","0",0,2004,28,2004-07-12
